タイムスタンプ,レビュー対象シューズ名 (ブランド名とモデル名 (例)Nike ペガサス41),購入サイズ(cm),シューズの評価：主観的な履き心地 [ステップイン(足入れ時）：つま先の広さ],シューズの評価：主観的な履き心地 [ステップイン：甲の高さ],シューズの評価：主観的な履き心地 [ステップイン：ヒールのホールド感],シューズの評価：主観的な履き心地 [ファーストステップ(走り出し時）：軽さの実感],シューズの評価：主観的な履き心地 [ファーストステップ：沈み込みの深さ],シューズの評価：主観的な履き心地 [クルージング(連続走行中)：トランジション（転がり）],シューズの評価：主観的な履き心地 [クルージング：反発のリズム],シューズの評価：主観的な履き心地 [クルージング：安定性],走行後の状態（アフター・ラン）,走行後の疲労・違和感の詳細 [足裏の疲労],走行後の疲労・違和感の詳細 [ふくらはぎの張り],走行後の疲労・違和感の詳細 [膝への違和感],走行後の疲労・違和感の詳細 [その他],SD法によるシューズの採点（5段階） [着地感(1やわらかめ----地面を感じる5)],SD法によるシューズの採点（5段階） [反発性(1ない----ある5）],SD法によるシューズの採点（5段階） [安定性(1自然------コントロールされる5)],SD法によるシューズの採点（5段階） [足幅感(1タイト-----リラックス5)],SD法によるシューズの採点（5段階） [デザインスタイル(1競技場らしい-----街履き5)],SD法の補足があれば！,オノマトペ（シューズの感触を表す擬音語・擬態語を自由にご記入ください）,性別,専門種目（該当するもの全て選択）,身長 (cm),体重 (kg),週間の平均走行距離 (km),自己ベスト,足の形状,足の形状に関する詳細な補足,接地タイプ,接地タイプの補足があれば！
2025/12/05 18:42:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/12/05 18:57:50,アシックス ノヴァブラスト5,27,良い,良い,普通,非常に良い,良い,普通,良い,悪い,2,全く感じない,全く感じない,少し感じる,全く感じない,1,4,4,3,2,,ポンポン,男性,"中距離 (800m, 1500m)",173.1,61.8,80,1500 3'49.94,ギリシャ型（人差し指が長い）,,ミッドフット（足裏全体で着地）,
2025/12/05 20:10:43,on CLOUD10000,24,非常に良い,非常に良い,非常に良い,非常に良い,非常に良い,良い,非常に良い,非常に良い,4,かなり感じる,非常に強く感じる,全く感じない,全く感じない,4,5,4,3,3,,ギュッ,男性,"中距離 (800m, 1500m)",160,50,80,1500m 4′00″10 800m1′57″23,ギリシャ型（人差し指が長い）,,ミッドフット（足裏全体で着地）,
2025/12/05 20:19:27,NIKE ボメロ18,26.5,非常に良い,非常に良い,非常に良い,普通,非常に良い,非常に良い,非常に良い,非常に良い,1,全く感じない,少し感じる,少し感じる,全く感じない,5,3,1,3,3,,"擬音語・擬態語があまり想像できない。
分厚いのに、薄底のような安定感と地面の近さを感じられるため、あまり音が鳴るイメージがしないからかもしれません。",男性,"中距離 (800m, 1500m)",172.5,61.3,60km,"800m 1'55""99",甲高,,ミッドフット（足裏全体で着地）,
2025/12/05 21:44:13,Nike ボメロ18,26,非常に良い,普通,良い,良い,良い,良い,良い,良い,2,全く感じない,少し感じる,全く感じない,全く感じない,2,3,3,4,3,,モフ,男性,"長距離 (5000m, 10000m)",172,60,80,3’59”03 (1500m),幅広,,ミッドフット（足裏全体で着地）,
2025/12/06 17:21:53,アディゼロタクミセン10,25,良い,非常に良い,良い,非常に良い,良い,普通,良い,悪い,1,かなり感じる,全く感じない,全く感じない,全く感じない,2,4,4,3,1,,,回答しない,"中距離 (800m, 1500m)",,,,2分12秒,特になし,,,
2025/12/06 17:44:34,HOKA BONDI8,28.5cm,良い,良い,良い,良い,非常に良い,良い,非常に良い,良い,2,少し感じる,少し感じる,全く感じない,少し感じる,2,3,3,3,3,ジョグにおいて、クッションと安定感の両立が高いレベルで行われていると感じる。,がっちり,男性,"中距離 (800m, 1500m), 長距離 (5000m, 10000m)",177,63,95,"1500m 3'58""47",幅広,左足が外反母趾,フォアフット（つま先・前足部から着地）,
2025/12/14 14:18:43,brooks ハイペリオンテンポ,24,非常に良い,非常に良い,非常に良い,良い,良い,良い,良い,非常に良い,2,少し感じる,全く感じない,全く感じない,全く感じない,5,4,5,2,2,,ぴたっ,女性,"長距離 (5000m, 10000m)",156,43,100前後,16‘19“94,エジプト型（親指が長い）,,ミッドフット（足裏全体で着地）,
2025/12/14 14:26:47,adidas SL2,28.5,非常に良い,普通,普通,非常に良い,普通,良い,非常に良い,非常に良い,1,全く感じない,全く感じない,全く感じない,全く感じない,3,2,4,3,5,,,男性,"中距離 (800m, 1500m)",185,69,30~100,1:50.27,ギリシャ型（人差し指が長い）,,ミッドフット（足裏全体で着地）,走行速度に応じて変化
2025/12/14 15:04:56,サッカニー、エンドルフィンプロ2,25.5,普通,普通,悪い,良い,悪い,良い,非常に良い,普通,4,少し感じる,全く感じない,全く感じない,全く感じない,4,5,5,4,2,,ぽんぽん,男性,"中距離 (800m, 1500m)",165,58,100前後,1.48.4,特になし,,ミッドフット（足裏全体で着地）,
